playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
frazito01,2016,1,CHA,AL,1B,7,7,183,59,3,1,4,,,,,
frazito01,2016,1,CHA,AL,3B,149,149,3961,91,293,11,33,,,,,
freemfr01,2016,1,ATL,NL,1B,158,158,4235,1305,107,5,116,,,,,
freemmi01,2016,1,ARI,NL,OF,2,1,30,1,0,0,0,,,,,
freemmi01,2016,2,SEA,AL,2B,5,2,69,8,7,0,3,,,,,
freemmi01,2016,2,SEA,AL,SS,2,1,36,2,2,0,0,,,,,
freemsa01,2016,1,MIL,NL,P,7,0,23,0,1,1,0,,,,,
freesda01,2016,1,PIT,NL,1B,58,34,1024,344,31,3,42,,,,,
freesda01,2016,1,PIT,NL,2B,2,0,15,0,0,0,0,,,,,
freesda01,2016,1,PIT,NL,3B,78,71,1877,40,157,8,17,,,,,
friasca01,2016,1,LAN,NL,P,1,0,12,0,0,0,0,,,,,
friedch01,2016,1,SDN,NL,P,24,23,388,1,19,1,3,,,,,
fryerer01,2016,1,SLN,NL,C,22,8,256,63,9,0,0,0,,2,4,
fryerer01,2016,2,PIT,NL,C,32,23,663,211,10,3,1,3,,19,3,
fuentre01,2016,1,KCA,AL,OF,12,12,294,23,1,1,0,,,,,
fulmeca01,2016,1,CHA,AL,P,8,0,35,1,3,0,0,,,,,
fulmemi01,2016,1,DET,AL,P,26,26,477,16,13,1,2,,,,,
gallayo01,2016,1,BAL,AL,P,23,23,354,4,14,0,0,,,,,
gallojo01,2016,1,TEX,AL,1B,1,1,27,11,0,1,3,,,,,
gallojo01,2016,1,TEX,AL,3B,5,1,54,3,6,0,0,,,,,
galvifr01,2016,1,PHI,NL,SS,156,153,4050,210,407,8,93,,,,,
gamboed01,2016,1,TBA,AL,P,7,0,40,0,6,0,0,,,,,
gamelbe01,2016,1,NYA,AL,OF,5,2,72,3,0,0,0,,,,,
gamelbe01,2016,2,SEA,AL,OF,26,6,324,26,0,0,0,,,,,
gantjo01,2016,1,ATL,NL,P,20,7,150,3,3,0,1,,,,,
garciad01,2016,1,ATL,NL,3B,123,123,3253,79,199,18,17,,,,,
garciad01,2016,1,ATL,NL,OF,4,4,87,6,0,0,0,,,,,
garciav01,2016,1,CHA,AL,OF,55,51,1382,118,5,2,1,,,,,
garcigr01,2016,1,SLN,NL,2B,26,16,452,31,43,2,7,,,,,
garcigr01,2016,1,SLN,NL,3B,31,11,381,6,22,1,4,,,,,
garcigr01,2016,1,SLN,NL,SS,30,23,679,19,78,5,17,,,,,
garcija01,2016,1,SFN,NL,P,62,0,174,3,5,0,0,,,,,
garcija02,2016,1,SLN,NL,P,32,30,515,7,28,3,1,,,,,
garcile02,2016,1,CHA,AL,OF,16,14,356,30,0,0,0,,,,,
garcilu03,2016,1,PHI,NL,P,17,0,46,0,2,0,0,,,,,
garciyi01,2016,1,LAN,NL,P,9,0,25,0,2,0,0,,,,,
gardnbr01,2016,1,NYA,AL,OF,147,139,3690,250,9,3,2,,,,,
garnedu01,2016,1,COL,NL,C,23,18,504,134,11,1,0,0,,10,6,
garnepe01,2016,1,CLE,AL,P,8,0,28,0,2,0,0,,,,,
gartory01,2016,1,TBA,AL,P,37,0,118,1,3,1,0,,,,,
garzama01,2016,1,MIL,NL,P,19,19,305,2,6,3,0,,,,,
gattiev01,2016,1,HOU,AL,C,55,49,1336,448,34,2,4,5,,15,13,
gausmke01,2016,1,BAL,AL,P,30,30,539,5,14,2,1,,,,,
