yearID,teamID,lgID,playerID,salary,pos
2016,TBR,AL,romeren01,510000,P
2016,MIL,NL,nolinse01,509700,B
2016,NYY,AL,willima10,509700,B
2016,CIN,NL,cothaca01,509675,P
2016,SDP,NL,edwarjo02,509600,B
2016,BOS,AL,ramirno01,509500,P
2016,COL,NL,adamecr01,509500,B
2016,COL,NL,anderty01,509500,P
2016,COL,NL,castrmi01,509500,P
2016,COL,NL,diazja01,509500,B
2016,COL,NL,grayjo02,509500,P
2016,COL,NL,matzety01,509500,P
2016,COL,NL,milleju02,509500,P
2016,DET,AL,farmebu01,509500,P
2016,DET,AL,ryanky01,509500,P
2016,DET,AL,verhadr01,509500,P
2016,TEX,AL,kleinph01,509500,P
2016,ARI,NL,brachsi01,509300,P
2016,MIL,NL,barriyh01,509200,B
2016,STL,NL,harrimi03,509000,B
2016,ARI,NL,drurybr01,508900,B
2016,MIL,NL,florera02,508800,B
2016,SDP,NL,jankotr01,508800,B
2016,ATL,NL,garciad01,508750,B
2016,MIL,NL,riverya01,508600,B
2016,NYY,AL,torrero01,508600,B
2016,ARI,NL,britoso01,508500,B
2016,ATL,NL,winklda01,508500,P
2016,CHC,NL,beeleda01,508500,B
2016,DET,AL,nesbian01,508500,B
2016,KCR,AL,gorete01,508500,B
2016,MIA,NL,lazora01,508500,B
2016,MIL,NL,broxtke01,508500,B
2016,MIL,NL,liriary01,508500,B
2016,SFG,NL,browntr01,508500,B
2016,TEX,AL,faulkan01,508500,P
2016,TEX,AL,jackslu01,508500,P
2016,KCR,AL,fuentre01,508450,B
2016,HOU,AL,felizmi01,508200,P
2016,HOU,AL,stassma01,508200,B
2016,ATL,NL,simmosh01,508000,P
2016,CIN,NL,holtty01,508000,P
2016,CIN,NL,moscojo01,508000,P
2016,CIN,NL,skipwky01,508000,B
2016,ARI,NL,barreja01,507500,P
2016,ATL,NL,banuema01,507500,B
2016,ATL,NL,gantjo01,507500,P
2016,ATL,NL,ramirjo02,507500,P
2016,ATL,NL,stubbdr01,507500,B
2016,ATL,NL,wislema01,507500,P
2016,BAL,AL,rickajo01,507500,B
2016,CIN,NL,lambjo02,507500,P
2016,CIN,NL,sampske01,507500,P
2016,CIN,NL,schebsc01,507500,B
2016,CLE,AL,naquity01,507500,B
2016,COL,NL,storytr01,507500,B
2016,COL,NL,wolteto01,507500,B
2016,DET,AL,ferreje01,507500,B
2016,DET,AL,saltaja01,507500,B
2016,HOU,AL,whitety01,507500,P
2016,LAA,AL,alvarjo02,507500,P
2016,LAD,NL,stripro01,507500,P
2016,MIA,NL,jacksed01,507500,P
2016,MIL,NL,walshco02,507500,B
2016,NYY,AL,barbajo01,507500,P
2016,NYY,AL,betande01,507500,P
2016,NYY,AL,cessalu01,507500,P
2016,OAK,AL,dullry01,507500,P
2016,PHI,NL,goeddty01,507500,B
2016,PHI,NL,huntece01,507500,B
2016,PHI,NL,stumpda01,507500,P
2016,SDP,NL,blashja01,507500,B
2016,SDP,NL,perdolu02,507500,P
2016,STL,NL,bowmama01,507500,P
2016,STL,NL,garcigr01,507500,B
2016,STL,NL,hazelje01,507500,B
2016,TOR,AL,biagijo01,507500,P
,,,,,
,,,,4396409.604,
