playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
feldmsc01,2016,2,TOR,AL,2,1,14,0,0,0,0,45,23,14,2,6,14,0.348,8.4,0,0,0,0,73,4,15,1,0,2
poundbr01,2016,1,KCA,AL,2,1,13,0,0,0,0,38,19,13,6,3,13,0.352,9.24,0,0,0,1,58,6,13,0,1,0
greench03,2016,1,NYA,AL,2,4,12,8,0,0,1,137,49,24,12,15,52,0.272,4.73,0,1,1,0,198,4,26,1,1,3
martini01,2016,1,TEX,AL,2,3,12,5,0,0,0,116,45,24,8,19,16,0.29,5.59,1,0,5,0,179,2,24,0,0,8
shielja02,2016,1,SDN,NL,2,7,11,11,0,0,0,202,69,32,9,27,57,0.272,4.28,2,3,1,0,284,0,33,1,1,11
mileywa01,2016,2,BAL,AL,2,5,11,11,0,0,0,162,70,37,7,15,55,0.315,6.17,0,3,3,0,242,0,38,0,2,4
perezwi01,2016,1,ATL,NL,2,3,11,11,0,0,0,161,57,36,7,15,27,0.271,6.04,3,4,2,0,233,0,37,4,2,5
liriafr01,2016,2,TOR,AL,2,2,10,8,0,0,0,148,42,16,7,16,52,0.222,2.92,0,1,2,0,208,0,22,0,1,6
mccarbr01,2016,1,LAN,NL,2,3,10,9,0,0,0,120,29,22,2,26,44,0.207,4.95,1,2,2,0,171,0,24,1,2,3
hahnje01,2016,1,OAK,AL,2,4,9,9,0,0,0,139,57,31,8,19,23,0.313,6.02,1,2,0,0,203,0,32,1,1,10
detwiro01,2016,2,OAK,AL,2,4,9,7,0,0,0,132,56,30,4,15,23,0.306,6.14,0,3,1,0,199,0,31,0,0,5
linceti01,2016,1,LAA,AL,2,6,9,9,0,0,0,115,68,39,11,23,32,0.395,9.16,0,3,2,0,200,0,41,1,2,5
stephro01,2016,1,CIN,NL,2,3,8,8,0,0,0,111,41,25,9,19,31,0.279,6.08,1,2,4,1,170,0,26,0,0,3
stewabr01,2016,1,LAN,NL,2,2,7,5,0,0,0,84,33,18,7,12,25,0.292,5.79,1,0,0,0,126,0,18,1,0,1
baileho02,2016,1,CIN,NL,2,3,6,6,0,0,0,69,35,17,2,7,27,0.35,6.65,0,1,2,0,111,0,19,0,2,1
cottojh01,2016,1,OAK,AL,2,0,5,5,0,0,0,88,20,7,4,4,23,0.185,2.15,0,1,0,0,112,0,10,0,0,2
harrelu01,2016,1,ATL,NL,2,2,5,5,0,0,0,88,25,11,1,12,21,0.234,3.38,0,3,3,0,124,0,13,1,1,2
asheral01,2016,1,PHI,NL,2,1,5,5,0,0,0,83,22,7,1,4,13,0.216,2.28,0,0,2,0,111,0,11,2,1,2
osullse01,2016,1,BOS,AL,2,0,5,4,0,0,0,64,30,16,3,6,13,0.337,6.75,0,2,2,0,98,1,17,0,1,1
deleojo03,2016,1,LAN,NL,2,0,4,4,0,0,0,51,19,12,5,7,15,0.288,6.35,1,0,3,0,80,0,17,3,1,0
roachdo01,2016,1,SEA,AL,2,0,4,0,0,0,0,16,7,5,1,2,2,0.292,8.44,0,1,1,0,28,1,5,0,1,0
collmjo01,2016,2,ATL,NL,2,0,3,3,0,0,0,57,15,5,3,5,16,0.221,2.37,0,0,1,0,76,0,5,2,0,2
barreja01,2016,1,ARI,NL,1,2,68,0,0,0,4,178,47,23,6,28,56,0.218,3.49,4,4,3,0,250,12,25,0,3,4
lopezja02,2016,1,SFN,NL,1,3,68,0,0,0,1,80,24,12,3,15,15,0.24,4.05,0,0,2,0,118,6,13,1,0,4
ramosaj01,2016,1,MIA,NL,1,4,67,0,0,0,40,192,52,20,1,35,73,0.223,2.81,3,6,4,0,278,52,21,2,4,5
hugheja02,2016,1,PIT,NL,1,1,67,0,0,0,1,178,62,20,6,22,34,0.277,3.03,3,5,5,0,257,18,24,4,2,8
harriwi02,2016,1,HOU,AL,1,2,66,0,0,0,12,192,52,16,3,15,69,0.22,2.25,1,4,1,0,255,19,17,1,2,6
alvarjo02,2016,1,LAA,AL,1,3,64,0,0,0,0,172,71,22,4,15,51,0.298,3.45,4,2,1,0,256,12,29,1,1,5
